sample,hfd,vanc,gent
2-D10,0,0,0
2-D11,0,0,0
2-D14,0,0,0
2-D16,0,0,0
2-D18,0,0,0
2-D1AM,0,0,0
2-D1PM,0,0,0
2-D21AM,0,0,0
2-D21PM,1,0,0
2-D22AM,1,0,0
2-D22PM,1,0,0
2-D23AM,1,0,0
2-D23PM,1,0,0
2-D24,1,0,0
2-D25,1,0,0
2-D28AM,1,0,0
2-D28PM,0,0,0
2-D29AM,0,0,0
2-D29PM,0,0,0
2-D2AM,0,0,0
2-D2PM,0,0,0
2-D30AM,0,0,0
2-D30PM,0,0,0
2-D31AM,0,0,0
2-D31PM,0,0,0
2-D32,0,0,0
2-D33,0,0,0
2-D35AM,0,0,0
2-D35PM,0,1,0
2-D36AM,0,1,0
2-D36PM,0,1,0
2-D37AM,0,1,0
2-D37PM,0,1,0
2-D38,0,1,0
2-D39,0,1,0
2-D3AM,0,0,0
2-D3PM,0,0,0
2-D42AM,0,1,0
2-D42PM,0,0,0
2-D43AM,0,0,0
2-D43PM,0,0,0
2-D44AM,0,0,0
2-D44PM,0,0,0
2-D45AM,0,0,0
2-D45PM,0,0,0
2-D46,0,0,0
2-D47,0,0,0
2-D4AM,0,0,0
2-D4PM,0,0,0
2-D5,0,0,0
2-D50AM,0,0,0
2-D50PM,0,0,1
2-D51AM,0,0,1
2-D51PM,0,0,1
2-D52AM,0,0,1
2-D52PM,0,0,1
2-D53,0,0,1
2-D54,0,0,1
2-D57AM,0,0,1
2-D57PM,0,0,0
2-D58AM,0,0,0
2-D58PM,0,0,0
2-D59AM,0,0,0
2-D59PM,0,0,0
2-D6,0,0,0
2-D60AM,0,0,0
2-D60PM,0,0,0
2-D61,0,0,0
2-D62,0,0,0
2-D63,0,0,0
2-D64AM,0,0,0
2-D64PM,0,0,0
2-D7,0,0,0
2-D8,0,0,0
2-D9,0,0,0
3-D10,0,0,0
3-D11,0,0,0
3-D14,0,0,0
3-D16,0,0,0
3-D18,0,0,0
3-D1AM,0,0,0
3-D1PM,0,0,0
3-D21AM,0,0,0
3-D21PM,1,0,0
3-D22AM,1,0,0
3-D22PM,1,0,0
3-D23AM,1,0,0
3-D23PM,1,0,0
3-D24,1,0,0
3-D25,1,0,0
3-D28AM,1,0,0
3-D29AM,0,0,0
3-D29PM,0,0,0
3-D2AM,0,0,0
3-D2PM,0,0,0
3-D30AM,0,0,0
3-D30PM,0,0,0
3-D31AM,0,0,0
3-D31PM,0,0,0
3-D32,0,0,0
3-D33,0,0,0
3-D35AM,0,0,0
3-D35PM,0,1,0
3-D36AM,0,1,0
3-D36PM,0,1,0
3-D37AM,0,1,0
3-D38,0,1,0
3-D39,0,1,0
3-D3AM,0,0,0
3-D3PM,0,0,0
3-D42AM,0,1,0
3-D42PM,0,0,0
3-D43AM,0,0,0
3-D43PM,0,0,0
3-D44AM,0,0,0
3-D44PM,0,0,0
3-D45AM,0,0,0
3-D45PM,0,0,0
3-D46,0,0,0
3-D47,0,0,0
3-D4AM,0,0,0
3-D4PM,0,0,0
3-D5,0,0,0
3-D50AM,0,0,0
3-D50PM,0,0,1
3-D51AM,0,0,1
3-D51PM,0,0,1
3-D52AM,0,0,1
3-D52PM,0,0,1
3-D53,0,0,1
3-D54,0,0,1
3-D57AM,0,0,1
3-D57PM,0,0,0
3-D58AM,0,0,0
3-D58PM,0,0,0
3-D59AM,0,0,0
3-D59PM,0,0,0
3-D6,0,0,0
3-D60AM,0,0,0
3-D60PM,0,0,0
3-D61,0,0,0
3-D62,0,0,0
3-D63,0,0,0
3-D64AM,0,0,0
3-D64PM,0,0,0
3-D7,0,0,0
3-D8,0,0,0
3-D9,0,0,0
4-D10,0,0,0
4-D11,0,0,0
4-D14,0,0,0
4-D16,0,0,0
4-D18,0,0,0
4-D1AM,0,0,0
4-D1PM,0,0,0
4-D21AM,0,0,0
4-D21PM,1,0,0
4-D22AM,1,0,0
4-D22PM,1,0,0
4-D23AM,1,0,0
4-D23PM,1,0,0
4-D24,1,0,0
4-D25,1,0,0
4-D28AM,1,0,0
4-D29AM,0,0,0
4-D29PM,0,0,0
4-D2AM,0,0,0
4-D2PM,0,0,0
4-D30AM,0,0,0
4-D30PM,0,0,0
4-D31AM,0,0,0
4-D31PM,0,0,0
4-D32,0,0,0
4-D33,0,0,0
4-D35AM,0,0,0
4-D35PM,0,1,0
4-D36AM,0,1,0
4-D36PM,0,1,0
4-D37AM,0,1,0
4-D37PM,0,1,0
4-D38,0,1,0
4-D39,0,1,0
4-D3AM,0,0,0
4-D3PM,0,0,0
4-D42AM,0,1,0
4-D42PM,0,0,0
4-D43AM,0,0,0
4-D43PM,0,0,0
4-D44AM,0,0,0
4-D44PM,0,0,0
4-D45AM,0,0,0
4-D45PM,0,0,0
4-D46,0,0,0
4-D47,0,0,0
4-D4AM,0,0,0
4-D4PM,0,0,0
4-D5,0,0,0
4-D50AM,0,0,0
4-D50PM,0,0,1
4-D51AM,0,0,1
4-D51PM,0,0,1
4-D52AM,0,0,1
4-D52PM,0,0,1
4-D53,0,0,1
4-D54,0,0,1
4-D57AM,0,0,1
4-D57PM,0,0,0
4-D58AM,0,0,0
4-D58PM,0,0,0
4-D59AM,0,0,0
4-D59PM,0,0,0
4-D6,0,0,0
4-D60AM,0,0,0
4-D60PM,0,0,0
4-D61,0,0,0
4-D62,0,0,0
4-D63,0,0,0
4-D64AM,0,0,0
4-D64PM,0,0,0
4-D7,0,0,0
4-D8,0,0,0
4-D9,0,0,0
5-D10,0,0,0
5-D11,0,0,0
5-D14,0,0,0
5-D16,0,0,0
5-D18,0,0,0
5-D1AM,0,0,0
5-D1PM,0,0,0
5-D21AM,0,0,0
5-D21PM,1,0,0
5-D22AM,1,0,0
5-D22PM,1,0,0
5-D23AM,1,0,0
5-D23PM,1,0,0
5-D24,1,0,0
5-D25,1,0,0
5-D28AM,1,0,0
5-D28PM,0,0,0
5-D29AM,0,0,0
5-D29PM,0,0,0
5-D2AM,0,0,0
5-D2PM,0,0,0
5-D30AM,0,0,0
5-D30PM,0,0,0
5-D31AM,0,0,0
5-D31PM,0,0,0
5-D32,0,0,0
5-D33,0,0,0
5-D35AM,0,0,0
5-D35PM,0,1,0
5-D36AM,0,1,0
5-D36PM,0,1,0
5-D37AM,0,1,0
5-D37PM,0,1,0
5-D38,0,1,0
5-D39,0,1,0
5-D3AM,0,0,0
5-D3PM,0,0,0
5-D42AM,0,1,0
5-D42PM,0,0,0
5-D43AM,0,0,0
5-D43PM,0,0,0
5-D44AM,0,0,0
5-D44PM,0,0,0
5-D45AM,0,0,0
5-D45PM,0,0,0
5-D46,0,0,0
5-D47,0,0,0
5-D4AM,0,0,0
5-D4PM,0,0,0
5-D5,0,0,0
5-D50AM,0,0,0
5-D50PM,0,0,1
5-D51AM,0,0,1
5-D51PM,0,0,1
5-D52AM,0,0,1
5-D52PM,0,0,1
5-D53,0,0,1
5-D54,0,0,1
5-D57AM,0,0,1
5-D57PM,0,0,0
5-D58AM,0,0,0
5-D58PM,0,0,0
5-D59AM,0,0,0
5-D59PM,0,0,0
5-D6,0,0,0
5-D60AM,0,0,0
5-D60PM,0,0,0
5-D61,0,0,0
5-D62,0,0,0
5-D63,0,0,0
5-D64AM,0,0,0
5-D64PM,0,0,0
5-D7,0,0,0
5-D8,0,0,0
5-D9,0,0,0